movieId,title,genres
1,toy story,adventure animation children comedy fantasy
2,jumanji,adventure children fantasy
3,grumpier old men,comedy romance
4,waiting to exhale,comedy drama romance
5,father of the bride part ii,comedy
6,heat,action crime thriller
7,sabrina,comedy romance
8,tom and huck,adventure children
9,sudden death,action
10,goldeneye,action adventure thriller
11,american president the,comedy drama romance
12,dracula dead and loving it,comedy horror
13,balto,adventure animation children
14,nixon,drama
15,cutthroat island,action adventure romance
16,casino,crime drama
17,sense and sensibility,drama romance
18,four rooms,comedy
19,ace ventura when nature calls,comedy
20,money train,action comedy crime drama thriller
21,get shorty,comedy crime thriller
22,copycat,crime drama horror mystery thriller
23,assassins,action crime thriller
24,powder,drama sci fi
25,leaving las vegas,drama romance
26,othello,drama
27,now and then,children drama
28,persuasion,drama romance
29,city of lost children the,adventure drama fantasy mystery sci fi
30,shanghai triad,crime drama
31,dangerous minds,drama
32,twelve monkeys,mystery sci fi thriller
33,wings of courage,adventure romance imax
34,babe,children drama
35,carrington,drama romance
36,dead man walking,crime drama
39,clueless,comedy romance
40,cry the beloved country,drama
41,richard iii,drama war
42,dead presidents,action crime drama
43,restoration,drama
44,mortal kombat,action adventure fantasy
45,to die for,comedy drama thriller
46,how to make an american quilt,drama romance
47,seven,mystery thriller
48,pocahontas,animation children drama musical romance
49,when night is falling,drama romance
50,usual suspects the,crime mystery thriller
52,mighty aphrodite,comedy drama romance
53,lamerica,adventure drama
54,big green the,children comedy
55,georgia,drama
57,home for the holidays,drama
58,postman the,comedy drama romance
59,confessional the,drama mystery
60,indian in the cupboard the,adventure children fantasy
61,eye for an eye,drama thriller
62,mr holland s opus,drama
63,don t be a menace to south central while drinking your juice in the hood,comedy crime
64,two if by sea,comedy romance
65,bio dome,comedy
66,lawnmower man beyond cyberspace,action sci fi thriller
68,french twist,comedy romance
69,friday,comedy
70,from dusk till dawn,action comedy horror thriller
71,fair game,action
72,kicking and screaming,comedy drama
73,mis rables les,drama war
74,bed of roses,drama romance
75,big bully,comedy drama
76,screamers,action sci fi thriller
78,crossing guard the,action crime drama thriller
79,juror the,drama thriller
80,white balloon the,children drama
81,things to do in denver when you re dead,crime drama romance
